year, extraction [10^6 litre/day]
1980, 3.15e+01
1981, 3.24e+01
1982, 3.34e+01
1983, 3.41e+01
1984, 3.29e+01
1985, 3.47e+01
1986, 3.50e+01
1987, 3.67e+01
1988, 3.76e+01
1989, 3.71e+01
1990, 3.67e+01
1991, 3.60e+01
1992, 3.52e+01
1993, 3.51e+01
1994, 3.49e+01
1995, 2.95e+01
1996, 3.23e+01
1997, 3.40e+01
1998, 3.54e+01
1999, 3.63e+01
2000, 1.84e+01
2001, 1.88e+01
2002, 1.93e+01
2003, 1.91e+01
2004, 1.95e+01
2005, 1.88e+01
2006, 1.85e+01
2007, 1.90e+01
2008, 1.91e+01
2009, 1.92e+01
2010, 1.88e+01
2011, 1.95e+01
2012, 1.84e+01
2013, 1.86e+01
2014, 1.92e+01
2015, 1.81e+01
2016, 1.91e+01
2017, 1.70e+01
2018, 1.72e+01